X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 625.63;20184.000;    0.000;    0.000
 625.79;17088.000;    0.000;    0.000
 625.95;18548.000;    0.000;    0.000
 626.10;10400.000;    0.000;    0.000
 626.26;15204.000;    0.000;    0.000
 626.42;10300.000;    0.000;    0.000
 626.58;14780.000;    0.000;    0.000
 626.74;17040.000;    0.000;    0.000
 626.90;15264.000;    0.000;    0.000
 627.06;23200.000;    0.000;    0.000
 627.22;16672.000;    0.000;    0.000
 627.38;11284.000;    0.000;    0.000
 627.53;19964.000;    0.000;    0.000
 627.69;14360.000;    0.000;    0.000
 627.85; 9496.000;    0.000;    0.000
 628.01;11312.000;    0.000;    0.000
 628.17;15420.000;    0.000;    0.000
 628.33;13436.000;    0.000;    0.000
 628.49; 6992.000;    0.000;    0.000
 628.65;10480.000;    0.000;    0.000
 628.80;14784.000;    0.000;    0.000
 628.96;10512.000;    0.000;    0.000
 629.12;18704.000;    0.000;    0.000
 629.28;13884.000;    0.000;    0.000
 629.44;13048.000;    0.000;    0.000
 629.60;14060.000;    0.000;    0.000
 629.76;12564.000;    0.000;    0.000
 629.92;10772.000;    0.000;    0.000
 630.07;16100.000;    0.000;    0.000
 630.23;15172.000;    0.000;    0.000
 630.39;10668.000;    0.000;    0.000
 630.55;13304.000;    0.000;    0.000
 630.71;13512.000;    0.000;    0.000
 630.87;10872.000;    0.000;    0.000
 631.03; 8392.000;    0.000;    0.000
 631.19;21664.000;    0.000;    0.000
 631.34;12716.000;    0.000;    0.000
 631.50;14044.000;    0.000;    0.000
 631.66; 9444.000;    0.000;    0.000
 631.82;14016.000;    0.000;    0.000
 631.98;10456.000;    0.000;    0.000
 632.14;20800.000;    0.000;    0.000
 632.30;15376.000;    0.000;    0.000
 632.45;13740.000;    0.000;    0.000
 632.61;13908.000;    0.000;    0.000
 632.77;20924.000;    0.000;    0.000
 632.93;10996.000;    0.000;    0.000
 633.09;13416.000;    0.000;    0.000
 633.25;15524.000;    0.000;    0.000
 633.41;15856.000;    0.000;    0.000
 633.56;12772.000;    0.000;    0.000
 633.72; 8968.000;    0.000;    0.000
 633.88;13528.000;    0.000;    0.000
 634.04;16488.000;    0.000;    0.000
 634.20;11268.000;    0.000;    0.000
