X590
Integration time [ms]: 40000.000
Averaging Nr. [scans]: 1
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 0604028U1
Wave   ;Sample   ;Dark     ;Reference;Scope
[nm]   ;[counts] ;[counts] ;[counts] 
 610.65;12040.000;    0.000;    0.000
 610.81; 9140.000;    0.000;    0.000
 610.97;12624.000;    0.000;    0.000
 611.13;12580.000;    0.000;    0.000
 611.29;15464.000;    0.000;    0.000
 611.45;24456.000;    0.000;    0.000
 611.61;22420.000;    0.000;    0.000
 611.77;15616.000;    0.000;    0.000
 611.93; 9608.000;    0.000;    0.000
 612.09; 9488.000;    0.000;    0.000
 612.25; 9420.000;    0.000;    0.000
 612.41;17600.000;    0.000;    0.000
 612.57;14436.000;    0.000;    0.000
 612.73;12512.000;    0.000;    0.000
 612.89;14024.000;    0.000;    0.000
 613.04; 9032.000;    0.000;    0.000
 613.20;16032.000;    0.000;    0.000
 613.36; 9968.000;    0.000;    0.000
 613.52;12952.000;    0.000;    0.000
 613.68;10748.000;    0.000;    0.000
 613.84;11324.000;    0.000;    0.000
 614.00;15052.000;    0.000;    0.000
 614.16;14808.000;    0.000;    0.000
 614.32;13324.000;    0.000;    0.000
 614.48;19908.000;    0.000;    0.000
 614.64;18312.000;    0.000;    0.000
 614.80;13456.000;    0.000;    0.000
 614.96;14512.000;    0.000;    0.000
 615.12; 9132.000;    0.000;    0.000
 615.28;15672.000;    0.000;    0.000
 615.44;13328.000;    0.000;    0.000
 615.60;21860.000;    0.000;    0.000
 615.76;16064.000;    0.000;    0.000
 615.92;12808.000;    0.000;    0.000
 616.08;16200.000;    0.000;    0.000
 616.23;15400.000;    0.000;    0.000
 616.39;15532.000;    0.000;    0.000
 616.55;14292.000;    0.000;    0.000
 616.71;16276.000;    0.000;    0.000
 616.87;17428.000;    0.000;    0.000
 617.03;11752.000;    0.000;    0.000
 617.19; 8580.000;    0.000;    0.000
 617.35;18696.000;    0.000;    0.000
 617.51;19116.000;    0.000;    0.000
 617.67;12060.000;    0.000;    0.000
 617.83;10972.000;    0.000;    0.000
 617.99;10932.000;    0.000;    0.000
 618.15;17556.000;    0.000;    0.000
 618.31; 8580.000;    0.000;    0.000
 618.47; 8744.000;    0.000;    0.000
 618.63;20132.000;    0.000;    0.000
 618.78;18524.000;    0.000;    0.000
 618.94;15744.000;    0.000;    0.000
 619.10;13836.000;    0.000;    0.000
 619.26;11828.000;    0.000;    0.000
 619.42;13088.000;    0.000;    0.000
 619.58;12368.000;    0.000;    0.000
 619.74;14384.000;    0.000;    0.000
 619.90;16008.000;    0.000;    0.000
 620.06;11944.000;    0.000;    0.000
 620.22;12068.000;    0.000;    0.000
 620.38;11416.000;    0.000;    0.000
 620.54;13216.000;    0.000;    0.000
 620.70;13912.000;    0.000;    0.000
 620.85;12992.000;    0.000;    0.000
 621.01;15408.000;    0.000;    0.000
 621.17;12972.000;    0.000;    0.000
 621.33;13208.000;    0.000;    0.000
 621.49; 7576.000;    0.000;    0.000
 621.65;12340.000;    0.000;    0.000
 621.81;14504.000;    0.000;    0.000
 621.97;12612.000;    0.000;    0.000
 622.13;10992.000;    0.000;    0.000
 622.29; 8028.000;    0.000;    0.000
 622.45;15360.000;    0.000;    0.000
 622.61;15684.000;    0.000;    0.000
 622.76;12476.000;    0.000;    0.000
 622.92;12708.000;    0.000;    0.000
 623.08; 7024.000;    0.000;    0.000
 623.24; 9324.000;    0.000;    0.000
 623.40;14624.000;    0.000;    0.000
 623.56; 7316.000;    0.000;    0.000
 623.72;10620.000;    0.000;    0.000
 623.88;19636.000;    0.000;    0.000
 624.04; 8120.000;    0.000;    0.000
 624.20;15748.000;    0.000;    0.000
 624.36;21192.000;    0.000;    0.000
 624.51;21720.000;    0.000;    0.000
 624.67;13580.000;    0.000;    0.000
 624.83;10488.000;    0.000;    0.000
 624.99;10140.000;    0.000;    0.000
 625.15;11984.000;    0.000;    0.000
 625.31;10336.000;    0.000;    0.000
 625.47;17384.000;    0.000;    0.000
 625.63;19276.000;    0.000;    0.000
 625.79;16580.000;    0.000;    0.000
 625.95;17980.000;    0.000;    0.000
 626.10;10052.000;    0.000;    0.000
 626.26;14520.000;    0.000;    0.000
 626.42;10052.000;    0.000;    0.000
 626.58;14492.000;    0.000;    0.000
 626.74;16456.000;    0.000;    0.000
 626.90;14536.000;    0.000;    0.000
 627.06;22236.000;    0.000;    0.000
 627.22;16212.000;    0.000;    0.000
 627.38;10912.000;    0.000;    0.000
 627.53;18932.000;    0.000;    0.000
 627.69;13804.000;    0.000;    0.000
 627.85; 9340.000;    0.000;    0.000
 628.01;10852.000;    0.000;    0.000
 628.17;14712.000;    0.000;    0.000
 628.33;12724.000;    0.000;    0.000
 628.49; 6716.000;    0.000;    0.000
 628.65;10152.000;    0.000;    0.000
 628.80;14228.000;    0.000;    0.000
 628.96;10172.000;    0.000;    0.000
 629.12;17944.000;    0.000;    0.000
 629.28;13400.000;    0.000;    0.000
 629.44;12508.000;    0.000;    0.000
 629.60;13516.000;    0.000;    0.000
 629.76;12016.000;    0.000;    0.000
 629.92;10440.000;    0.000;    0.000
 630.07;15632.000;    0.000;    0.000
 630.23;14384.000;    0.000;    0.000
 630.39;10200.000;    0.000;    0.000
 630.55;12808.000;    0.000;    0.000
 630.71;13512.000;    0.000;    0.000
 630.87;10616.000;    0.000;    0.000
 631.03; 8092.000;    0.000;    0.000
 631.19;20388.000;    0.000;    0.000
 631.34;12212.000;    0.000;    0.000
 631.50;13388.000;    0.000;    0.000
 631.66; 9148.000;    0.000;    0.000
 631.82;13628.000;    0.000;    0.000
 631.98; 9896.000;    0.000;    0.000
 632.14;19836.000;    0.000;    0.000
 632.30;14876.000;    0.000;    0.000
 632.45;13340.000;    0.000;    0.000
 632.61;13548.000;    0.000;    0.000
 632.77;19780.000;    0.000;    0.000
 632.93;10316.000;    0.000;    0.000
 633.09;12516.000;    0.000;    0.000
 633.25;14648.000;    0.000;    0.000
 633.41;15332.000;    0.000;    0.000
 633.56;12168.000;    0.000;    0.000
 633.72; 8800.000;    0.000;    0.000
 633.88;12876.000;    0.000;    0.000
 634.04;15720.000;    0.000;    0.000
 634.20;11020.000;    0.000;    0.000
 634.36; 7232.000;    0.000;    0.000
 634.52;11068.000;    0.000;    0.000
 634.67;12036.000;    0.000;    0.000
 634.83; 8792.000;    0.000;    0.000
 634.99;14440.000;    0.000;    0.000
 635.15;18020.000;    0.000;    0.000
 635.31;12192.000;    0.000;    0.000
 635.47;11832.000;    0.000;    0.000
 635.62; 9196.000;    0.000;    0.000
 635.78;14536.000;    0.000;    0.000
 635.94; 9468.000;    0.000;    0.000
 636.10; 7196.000;    0.000;    0.000
 636.26;12436.000;    0.000;    0.000
 636.42;12132.000;    0.000;    0.000
 636.58;12512.000;    0.000;    0.000
 636.73;15500.000;    0.000;    0.000
 636.89;17452.000;    0.000;    0.000
 637.05;12248.000;    0.000;    0.000
 637.21;14860.000;    0.000;    0.000
 637.37; 8920.000;    0.000;    0.000
